周期,日期,竞品品牌,追踪维度（单选）,事实描述,分析,信息源
45周,1762099200000,字节跳动,产品与技术,字节跳动SEED团队推出通用游戏智能体Game-TARS,"核心技术创新
统一动作空间：基于键盘-鼠标操作构建通用智能体交互框架，模拟人类操作方式（而非调用API），覆盖操作系统、网页及游戏环境。
超大规模训练：依托 5000亿级多模态标注数据，结合 稀疏推理 与 衰减持续损失 技术，显著提升智能体扩展性与泛化能力。
全栈整合：将视觉感知、策略推理、动作执行、长期记忆集成于单一视觉语言模型，无需游戏特定规则编程。
2. 性能突破
跨游戏泛化能力：在FPS、开放世界、网页游戏等任务中表现 超越GPT-5、Gemini-2.5-Pro、Claude-4-Sonnet 等顶级模型。
轻量化优势：迷你版本在多种任务中仍保持卓越性能。
跨领域扩展：通过后训练引入跨领域数据，能力延伸至 代码生成、GUI自动化、科研任务 等非游戏场景。
3. 应用前景
通用智能体范式：实现“人类式”操作系统交互，为具身智能提供新路径。
零样本学习：无需针对单款游戏定制开发，自主适应新环境。
技术溢出效应：突破游戏场景限制，向生产力工具领域拓展。
",https://mp.weixin.qq.com/s?src=11&timestamp=1762148945&ver=6335&signature=WYxir--vo69P30ykF4bc5rl9sq6FRTX7O97FGNG-P*xYXSCsWm3KuSRdBwfr8f0rX0mtUfM62CfXQQtK8gwwLwNPdPqbGCVle2H8jMbIld*7Go2OyqcvfLOEoxEEaCVl&new=1
45周,1762099200000,腾讯,产品与技术,腾讯混元团队刚刚推出了一项叫SRPO的新技术，解决了目前AI生图中人物”满脸油光”的问题,"这项技术最厉害的地方在于它的创新思路——通过语义偏好对奖励模型进行在线调整。

简单来说，就是给奖励模型添加特定的控制词（比如”真实感”），让模型朝着我们想要的方向优化。",https://mp.weixin.qq.com/s/4bkCYXe0Q2X6KIxiZP4Rlg
45周,1762099200000,腾讯,产品与技术, 腾讯ima发布2.0 版本，增加任务模式,"新版ima的“任务模式”支持生成报告、播客两种内容形态，用户可在首页或知识库内用自然语言提问发起任务，还可以给任务加上知识库、文档、图片、音频、网页、笔记等附件，相当于大模型在执行任务时有了“参考课本” ；在生成音频形态的播客时，则支持选择对谈人数、音色等，满足学习或工作场景下的深度信息处理和创作需求。
用户开启“任务模式”后，ima将基于全网或知识库数据，通过LLM自主拆解、规划任务步骤，并调用精读内容、全网搜索、知识库查询、内容创作等工具完成用户输入的指令，并在执行过程中自我监测与修正，最终产出可直接使用的结果。",https://finance.sina.com.cn/tech/it/2025-10-23/doc-infuwsqi6883686.shtml
45周,1762099200000,超星,产品与技术,超星 AI 知识库构建高校知识新体系,"超星AI知识库赋能高校
更顺畅的业务:
业务知识库标准化流程，提升管理效能
更高效的教学:
课程知识库辅助师生互动，提升学习、教学效率
更安全的知识:
所有权可控、敏感信息脱敏，保障高校知识资产安全
更省心的建设:
公共资源 +数据治理双支撑，降低自建门槛，快速落地见效",https://mp.weixin.qq.com/s/3H-cfJ4X2msQGZZdlvT3nQ
45周,1762099200000,科大讯飞,产品与技术,2025科大讯飞全球1024开发者节“AI+教育”专场正式上线，聚焦基础教育与高等教育两大领域，发布两款学科智能体，推动AI从工具转变为学习中的成长伙伴,"此次发布的“懂你的学科智能体”，能在多场景中辅助教师教学：

课件创编：可针对性解决大单元、任务群、问题链等教学难题，支持跨平台AI搜索即搜即用，上传教案后能一键生成课件，还能打造出题组卷、文言文教学等细分教学场景的专属智能体，在实际应用中已实现课件制作提效超64%。

全景虚拟人：通过思辨引导、跨学科辅学答疑、主动情景创设与课堂服务等功能，实现因材施教，以人机共教方式，让AI从“教学工具”到“教学伙伴”。

AI多模态实录与分析：可以完成课堂实录并生成结构化微课，归纳知识脉络，让课堂转化为可复习的知识资产；同时能精准解码超过30种教学行为，生成诊断报告，为教学反思提供数据依据；在成长赋能层面，既可以通过数据驱动构建教师个性化成长画像，也能汇聚区域教学数据，提炼优秀教学范式，实现个体与区域教学能力的共同提升。
",https://mp.weixin.qq.com/s/U1vwE1f38opM35droqiUrg
45周,1762099200000,金智教育,产品与技术,AI赋能｜数智化方案为高校学科建设打造精准“画像”,构建覆盖人才培养、师资队伍、科研水平、社会服务等关键领域的监测指标体系。支持分级分类、动态更新的量化评估，通过多层级可视化看板，实时呈现学科建设进展与成效，配套预警机制，助力学科全过程精准管理与科学决策。,https://mp.weixin.qq.com/s/NkqxAwbH4jngfHiWVXWMxg
46周,1762704000000,新华三,市场与营销,新华三牵头共建产教融合共同体,在浙江省教育厅、教育部职业院校信息化教学指导委员会、浙江省人工智能学会的指导下，新华三联合杭州电子科技大学、浙江经济职业技术学院牵头组建的这一新型产教融合组织,https://mp.weixin.qq.com/s/F383n2Ttekj9RzoMFK2EoQ
46周,1762704000000,新华三,产品与技术,11月7日新华三发布国内最高密度盒式DCI交换机,该产品面向大规模AI集群与跨域智算中心互联场景，以全新盒式形态设计实现51.2T超高带宽、高性能转发与高能效比,https://mp.weixin.qq.com/s/7id0j5xOiR2WEPvagIoDXQ
46周,1762704000000,浪潮,市场与营销,AI私有化部署门槛降80%！浪潮信息KOS与趋境科技联合发布轻量化推理方案,浪潮联合趋境科技推出轻量化推理方案，通过全栈软硬协同架构创新，将AI大模型私有化部署的门槛降低80%，仅需双路通用服务器及消费级显卡，单机即可支持40人规模团队使用DeepSeek-R1 671B满血版大模型推理，或者 200 人规模团队使用QWen3-235B大模型推理，为顶级大模型能力的私有化部署提供了低成本、易运维、高性能的解决方案。,https://mp.weixin.qq.com/s/QtwFZ6EjV0vnC-DkyneJ-w
46周,1762704000000,联想,市场与营销,11月3日联想机器人智能巡检方案亮相新加坡,联想晨星机器人智能巡检方案，以“自主感知、智能识别、预测维护”为核心能力，基于联想自研的具身智能六足机器人平台，融合多模态感知算法与边缘智能计算，能够在多种复杂环境下实现高效、稳定、可持续的自动化巡检。,https://mp.weixin.qq.com/s/kY29yy6dwgc2wjcYDkFDUw?scene=1&click_id=2
46周,1762704000000,阿里,公司与战略,阿里巴巴正在建设超大规模 AI 基础设施,"阿里云的定位是全栈人工智能服务商，提供世界领先的智能能力和遍布全球的AI云计算网络，向全球各地提供开发者友好的AI服务。

“通义千问”已经成为全球最具影响力的开源模型家族，总共开源了300多个模型，涵盖全模态、全尺寸，全球下载量突破6亿次，衍生模型超过17万个，位居全球第一。

截至10月中旬，“魔搭”社区已经汇聚了超过12万个开源模型、超过5500个MCP 服务和调试工具，服务了2000多万用户。我们欣喜地看到，社区的AI开发者中，有超过20.74%来自50人以下的小组织，独立开发者占比达到了13.7%。社区的“创空间”频道，有将近2.3万个AI应用，覆盖超过20个行业，其中约95%的应用由个人开发者完成。",https://www.tmtpost.com/7753867.html
46周,1762704000000,字节跳动,产品与技术,字节、腾讯旗下 AI 编程工具均已移除 Claude 模型, Anthropic 禁止中国企业使用该公司模型。,https://tech.ifeng.com/c/8o1rO3O3E61
46周,1762704000000,字节跳动,市场与营销,豆包力压 Deepseek 夺原生 AI App 月活第一,字节跳动旗下豆包以 1.72 亿月活用户登顶，力压 DeepSeek 的 1.44 亿月活。,https://finance.sina.com.cn/tech/roll/2025-10-29/doc-infvnnvh9398311.shtml
46周,1762704000000,科大讯飞,产品与技术,科大讯飞发布讯飞星火X1.5及系列AI产品,深度推理大模型讯飞星火X1.5发布，在全国产算力平台上攻克MoE模型全链路训练效率，在模型参数小一倍的情况下对标国外领先水平，其多语言能力超130种，为世界提供第二选择，并推动教育、医疗等行业大模型能力升级。,https://mp.weixin.qq.com/s/sW18MtR3k58YBuGhVg6rxw
46周,1762704000000,超星,市场与营销,2025 超星杯“探索智能服务玩转 AI 馆员”活动,黑龙江省高等学校图书情报工作委员会联合黑龙江超星信息技术有限公司举办2025年“超星杯”探索智能服务玩转AI馆员活动。,https://today.hit.edu.cn/article/2025/11/06/125765
47周,1763308800000,浪潮,市场与营销,浪潮中标浙江大学GPU服务器项目,浪潮中标浙江大学GPU服务器项目10台8卡GPU服务器，单价149万/台，另外有3台16卡GPU服务器，中标价：198万，未公布品牌型号；项目共计13台服务器，中标总价2085万。,https://www.ccgp.gov.cn/cggg/zygg/zbgg/202511/t20251111_25676563.htm
47周,1763308800000,联想,市场与营销,全球IT权威机构Gartner发布了首份《基础设施平台消费服务魔力象限报告》。联想凭借联想智能云-混合云平台和“一切皆订阅”的TruScale算力服务，作为唯一入选的中国厂商，跻身“挑战者”象限。,中国唯一入选！联想智能云和TruScale算力服务跻身Gartner魔力象限“挑战者”,https://mp.weixin.qq.com/s/2ukZ71NT3jqQW4qrUmrzKA
47周,1763308800000,新华三,市场与营销,"新华三亮相2025年全国高校教师教学发展中心工作会，AI智启教学新生态
",新华三全新智算硬件产品LinSeer MegaCube桌面级AI工作站为未来学习中心提供了坚实终端支撑。该设备单台可支持200B参数大模型推理与70B模型微调，双机级联轻松应对405B参数需求,https://mp.weixin.qq.com/s/jy_G2IAof4x3PZxgeT2uDw
47周,1763308800000,字节跳动,产品与技术,字节火山引擎正式发布豆包编程模型：成本降低62.7%，国内最低价,官方表示，豆包编程模型综合使用成本相比业界平均水平降低62.7%，国内最低价。目前，该模型已通过火山方舟平台全量开放 API。面向开发需求量大的个人开发者，并且公布订阅制套餐包“Coding Plan”，“用得多省得多，首月低至9.9元。”,https://finance.sina.com.cn/tob/2025-11-11/doc-infwzfah5888619.shtml
47周,1763308800000,腾讯,市场与营销,腾讯Q3财报：增长超普遍预期，AI协同效果持续显现,"财报内容显示，AI战略落地成果及业务反哺主要体现在三方面。
首先是技术突破，混元基础模型的图像及3D生成能力达行业领先，复杂推理能力（编程、数学、科学领域）显著提升，根据LMArena排名，混元文生图模型全球第一。
其次是业务效率的提升，AI应用于广告精准定向（提升营销服务eCPM）、游戏用户参与度（优化玩法与推荐）、编程/视频制作（降低运营成本）。
最后是生态的拓展，微信内推进AI智能体能力建设，加速元宝AI普及，同时通过AI优化微信小店商品推荐，推动交易生态蓬勃发展，间接带动金融科技及企业服务的商家技术服务费增长。
而具体到AI应用腾讯元宝，QuestMobile于2025年9月发布的互联网/AI科技企业原生APP数据显示，在活跃规模中，腾讯元宝排行第三，但离前两名，也即DeepSeek和字节旗下的豆包大模型还有明显差距。",https://t.cj.sina.com.cn/articles/view/1887344341/707e96d502001ov6m
47周,1763308800000,阿里,市场与营销,阿里云支撑双11数据：Qwen翻译模型单日调用量超14亿,双11期间，阿里云为电商平台提供了千万核高性能CPU算力与万卡AI算力集群，支撑了包括商品推荐、翻译服务、商家经营等多项业务场景。通义千问大模型首次大规模应用于双11，其翻译模型单日调用量超过14亿次,https://k.sina.com.cn/article_5953741034_162dee0ea06702pd54.html
47周,1763308800000,华为,产品与技术,华为将发布AI领域突破性技术 有望解决算力资源利用效率难题,华为将在11月21日发布AI领域的突破性技术，有望解决算力资源利用效率的难题。具体来看，华为即将发布AI领域的突破性技术，可将GPU（图形处理器）、NPU（神经网络处理器）等算力资源的利用率，从行业平均的30%至40%提升至70%，显著释放算力硬件潜能。据透露，华为即将发布AI领域的突破性技术，是通过软件创新实现英伟达、昇腾及其他三方算力的统一资源管理与利用，屏蔽算力硬件差异，为AI训练推理提供更高效的资源支撑。,https://wallstreetcn.com/articles/3759477
47周,1763308800000,金智教育,产品与技术,教育大数据应用技术国家工程研究中心与江苏金智教育信息股份有限公司（以下简称“金智教育”）联合主办的“典型业务场景AI产品发布会”在线上举行。,发布了AI应用系列产品，围绕“助学、助教、助研、助管、助国际交流”五大方向，构建了从基础智能体到超级智能体的完整产品体系。,https://mp.weixin.qq.com/s/65JGI_7oO7sJzAafHmzHFg
47周,1763481600000,阿里,产品与技术,阿里千问 App 上线公测，全力进军 AI to C 市场,"阿里已经悄悄更新了对“千问”App的相关描述。在App Store，“千问”定位为“阿里最强大模型官方AI助手”，具备对话问答、智能写作以及多模态的全能相机功能。千问App未来还将计划将地图、外卖、订票、办公、学习、购物、健康等各类生活场景接入千问APP，让其具备更强大的办事能力。
",https://36kr.com/p/3556545531771779
48周,1763913600000,阿里,产品与技术,蚂蚁灵光 4 天破百万下载，刷新全球AI应用增速纪录,"产品亮点  
-30秒手搓应用:用户在移动端用自然语言描述需求，30秒即可生成可编辑、可交互、可分享的小程序，支持3D、音视频、图表、动画、地图等多模态输出。  
- 零代码门槛:无需编程基础，生活化语言即可生成“合租账单拆分”“旅行行程规划”等实用工具，实现从“给信息”到“给工具”的跃迁。  
- 三大功能模块:灵光对话、灵光闪应用、灵光开眼，覆盖问答、生成、可视化全链路。",https://www.aibase.com/zh/news/23007
48周,1763913600000,华为,产品与技术,对标英伟达，华为开源AI容器技术Flex:ai 它可使算力平均利用率提升30%,"Flex:ai通过算力切分技术，将单张GPU/NPU算力卡切分为多份虚拟算力单元，切分粒度精准至10%。此技术实现了单卡同时承载多个AI工作负载，在无法充分利用整卡算力的AI工作负载场景下，算力资源平均利用率可提升30%。
在面临先进制程受限、单颗AI芯片性能与国外存在差距的现实下，Flex:ai延续了华为“以软件补硬件”的发展路径。",https://www.nbd.com.cn/articles/2025-11-21/4153125.html
48周,1763913600000,联想,公司与战略,联想将推出个人超级智能体；杨元庆称并不认为存在人工智能泡沫；存储供应的短缺和价格上涨不会是一个短期现象,"联想集团董事长兼 CEO 杨元庆在 25/26 财年第二季度业绩发布会上称，文本内存、闪存、固态硬盘等零部件短缺和价格上涨明年内仍将持续，但联想比竞争对手有更好的应对能力。
明年1月6号将在联想创新科技大会上推出个人超级智能体。这一智能体不仅能协同各类可穿戴与环境感知设备，实现听你所听、见你所见、记你所记，还能调度各种便携式设备，通过个性化的算法与模型持续学习用户习惯、预测意图，最终成为用户的个人智能双胞胎，为用户带来更加智能、便捷的体验。",https://www.aibase.com/zh/news/22959
48周,1763913600000,联想,公司与战略,联想Q2营收1464亿创历史新高，AI业务占比飙升至30%,联想当季营收录得1464亿元人民币，同比增长15%。数据显示，联想AI相关业务营收在总营收中的占比已攀升至30%，同比大幅提升13个百分点。这意味着人工智能已不仅是技术储备，而实质性转化为业绩支柱。集团董事长兼CEO杨元庆表示，联想将继续利用“全球资源、本地交付”模式应对挑战，把握混合式人工智能机遇。,https://tech.ifeng.com/c/8oQavEdSxLx
48周,1763913600000,字节跳动,产品与技术,豆包输入法正式版上线：内置情境感知引擎，支持中英文混合滑行输入,豆包输入法 1.0 正式版上线，可在小米应用商店下载。它内置情境感知引擎，能基于聊天场景自动切换词库，拥有「滑行输入增强版」，支持中英文混合滑行输入。该输入法基础功能完善，有 9 键和 26 键布局，支持调整键盘高度、语音转文字，但无切换方言语种按钮，识别粤语转文字有错字。此外，它有智能输入、基础输入两种模式，前者将部分信息传至云端处理，后者用本地资源输入，无语音转文字、翻译等功能。,https://techsir.com/a/202511/92142.html
48周,1763913600000,科大讯飞,产品与技术,发布了讯飞星火X1.5。这款模型采用MoE架构，相比前代X1，推理效率提升了一倍它在数学能力和多语言能力方面表现尤为出色,软硬件一体新品，科大讯飞发布了融合AI与麦克风阵列、扬声器阵列、摄像头阵列、视觉呈现等的软硬件一体解决方案。搭载环八麦克风阵列的讯飞智能办公本X5、集成单耳三麦多感融合降噪系统的讯飞双屏翻译机2.0、可实现自动翻译免切换的讯飞同传麦克风、搭载“AI+扬声器阵列技术”的智能座舱音响方案iFLYSOUND、圆偏类自然光护眼大屏的讯飞AI黑板、集微纳米类纸屏等多项技术于一体的科大讯飞AI学习机等依次亮相，这些产品的广泛应用显示了讯飞正一步一个脚印“让AI融入真实世界”。,https://news.sciencenet.cn/htmlnews/2025/11/554743.shtm
48周,1763913600000,新华三,市场与营销,广东电信携手新华三完成DDC架构智算网络方案落地测试,在异构算力兼容性、无损传输性能和组网稳定性方面表现出色，能灵活适配主流GPU品牌的AI加速卡，实现多架构、多类型算力节点的高效互联。相比传统RoCE方案，有效带宽平均提升24.54%–41.37%，最高可接近100%，显著增强了智算网络的吞吐与稳定性。,https://mp.weixin.qq.com/s/oVgxm5reXJcLZZZAwTg59Q
48周,1763913600000,浪潮,产品与技术,浪潮信息液冷整机柜服务器介绍,基于硬件开放标准的全场景整机柜产品，集成标准规格服务器、网络交换机、集中供电、液冷管路等算力和配套设备，创新设计实现机柜和服务器节点的彻底解耦，满足用户多元化场景部署需求，构建开放、标准、高性价比、绿色节能的先进算力。,https://mp.weixin.qq.com/s/iMc2FMl9gedR1LGTyOGPwA
48周,1763913600000,新大陆,市场与营销,新大陆软件的“鲲鹏昇腾融合人工智能服务平台方案”接连收获国际与国家级双项权威认证。,该方案亦成功入选中国电子信息产业发展研究院组织的“中国电子信息产业发展创新案例集（CEIC）”。CEIC案例集聚焦我国电子信息产业关键领域的创新成果，由权威专家团队从技术突破性、产业带动性等维度进行综合评定。,https://mp.weixin.qq.com/s/rYq1pU4SBr7y8HEchTI4UQ
49周,1764518400000,新华三,公司与战略,HPE卖出最后9%股权，新华三彻底告别惠普时代,，“紫光国际”拟以约3.70亿美元的对价收购“新华三”约5.19%股份，“宁波甬宁”、“合肥华芯”拟分别以约1.40亿美元、1.32亿美元的对价收购“新华三”约1.96%、1.85%股份。收购价格均为735.99美元/股，对应“新华三”大约71.4亿美元的估值，与此前约定的行权价保持一致。,https://mp.weixin.qq.com/s/qWBk8PCQaMlvqIZ6yHowHg
49周,1764518400000,浪潮,公司与战略,浪潮计算机股权变更：新增中国移动等多家股东！,中移资本控股有限责任公司成立于2016年11月9日，注册资本200亿元，是中国移动通信集团有限公司全资子公司。,https://mp.weixin.qq.com/s/s1mVkhfeKH3NF384iO7-AQ
49周,1764518400000,联想,市场与营销,"内存一年涨3倍卖断货,联想狂囤50%库存锁死2026供应,不让消费者多花钱",联想作为全球市占率 25% 的头部 PC 厂商（年出货量上亿台），其 CFO 温斯顿・郑于 11 月 25 日接受彭博社采访时透露，公司内存及关键元器件库存较常规水平高出 50%，且已通过长期合同锁定 2026 年全年供应。,https://mp.weixin.qq.com/s/Suxcie-ZUSt96HizPNnWRA
49周,1764518400000,联想,公司与战略,联想天津工厂获评“2025世界智能制造十大科技进展”,世界智能制造大会由江苏省人民政府与国际智能制造联盟共同主办，是汇聚全球智能制造领先企业、权威机构与前沿专家的顶级交流平台。联想天津工厂整体设计贯彻绿色零碳、智能制造两大定位，是业内最高水准的零碳智造工厂。,https://mp.weixin.qq.com/s/4M4rXgQ474GjgMsjvHqcdA
49周,1764518400000,新大陆,市场与营销,新大陆亮相2025湖南人工智能大会，释放产教融合新动能,2025年11月22日，由湖南省人工智能学会、湘江实验室和湖南省人工智能协会联合主办，新大陆科技集团协办的2025湖南人工智能大会在湘潭大学隆重开幕。,https://mp.weixin.qq.com/s/WKV3aOccnzSr3dh3GVgBgA
49周,1764518400000,新大陆,产品与技术,合规+赋能双驱动！新大陆时代科技在线培训平台入选天津官方名录，二级等保落地生效,北京新大陆时代科技有限公司职业技能提升在线培训平台（以下简称 “平台”）成功入选天津市线上职业技能培训平台，平台全面覆盖教学管理、资源管理、题库管理、平台管理、培训监管等核心功能模块，打通从课程创建、自主学习、运营管理到数据复盘的全流程服务链路，为广大用户提供专业、高效、优质的在线职业技能培训体验。,https://mp.weixin.qq.com/s/bmAjYDD8aGgADkt7oXRAqw
49周,1764518400000,阿里,产品与技术,大摩中国CIO调查：B端对千问和阿里云兴趣显著增加，预计三年内千问超越DeepSeek,"大摩的调查显示，CIO对DeepSeek的兴趣度大幅下降了20个百分点，目前回落至45%。与此同时，阿里巴巴/通义千问（Qwen）的意向度从上半年的18%激增至30%，增长势头最为迅猛。
大摩根据调查结果给出了更为激进的终局推演：三年内，阿里巴巴/通义千问有望以37%的份额占据榜首，超越DeepSeek（28%）、华为（13%）和字节跳动（12%）。",https://wallstreetcn.com/articles/3760369
49周,1764518400000,阿里,产品与技术,入选概率不及万分之二，阿里千问斩获顶级AI会议最佳论文,11月28日消息，人工智能领域顶级会议NeurIPS 2025公布了论文奖，阿里通义千问团队最新研究成果从全球2万多篇投稿论文中脱颖而出，被评为最佳论文，是唯一获得该奖项的中国团队。该论文首次在业内揭秘了注意力门控机制对大模型性能和训练的影响，业内人士普遍认为该研究是突破当下大模型训练瓶颈的重要一步，将有力推动AI大模型技术的发展。,https://wallstreetcn.com/articles/3760310?keyword=%E9%98%BF%E9%87%8C
49周,1764518400000,华为,产品与技术,"算力利用率提升 30%，华为与三大高校开源 Flex:ai
",华为联合上海交通大学、西安交通大学、厦门大学，在「2025AI 容器应用落地与发展论坛」上正式发布并开源 AI 容器技术 Flex:ai，旨在实现算力资源精细化管理与智能调度，推动 AI「平民化」。华为公司副总裁周跃峰指出让 AI 平民化仍有挑战，以医疗行业为例说明粗放调度难题。华为刘淼指出小任务单卡算力用不完、大任务单机算力不够用、多任务并发调度难三大核心痛点。三所高校分别从资源切分、跨节点聚合与智能调度三个维度攻关：上海交通大学戚正伟教授介绍 XPU 资源池化框架，实现空间共享与资源隔离。厦门大学 / 上海交通大学张一鸣教授研发跨节点拉远虚拟化技术，聚合空闲 XPU 算力。西安交通大学张兴军教授研发 Hi Scheduler 调度器，实现细粒度调度。华为将 Flex:ai 全栈技术开源并联合高校持续迭代，华为张弓指出企业部署 AI 推理面临矛盾，跨节点迁移与大规模集群调度仍是难点。,https://tech.ifeng.com/c/8obSR9FYrrJ
49周,1764518400000,腾讯,产品与技术,腾讯混元 OCR 模型宣布开源。混元 OCR 模型核心技术揭秘：统一框架、真端到端,腾讯混元大模型团队正式发布并开源商业级、开源且轻量的 OCR 专用视觉语言模型 HunyuanOCR。该模型感知和语义能力出色，获 ICDAR 2025 DIMT 挑战赛冠军等成绩。其实现三大突破：全能与高效统一、极简端到端架构、数据驱动与 RL 创新。核心技术聚焦于：轻量化模型结构设计，采用端到端训推一体范式，协同架构避免图像失真与细节丢失。高质量预训练数据生产，构建超 2 亿「图像-文本对」语料库，覆盖多场景多语言。重应用导向的预训练策略，分四阶段循序渐进。OCR 任务定制的强化学习方案，针对不同任务采取混合策略，有严苛数据筛选、自适应奖励设计、GRPO 算法与格式约束优化等注意事项。,https://hub.baai.ac.cn/view/50774
49周,1764604800000,超星,市场与营销,人工智能赋能高等教育高质量发展研讨会圆满落幕，超星知识创新中心正式发布,"由北京大学教师教学发展中心主办，超星泛雅集团承办，北京科学教育发展基金会协办的""人工智能赋能高等教育高质量发展研讨会暨'人工智能+高等教育'应用场景典型案例分享会""在北京成功举办。本次会议汇聚了来自全国260多所院校的580多名专家学者、教育管理者及行业领军企业代表线下参会，15000名教师线上观看直播，共同探讨人工智能技术与高等教育深度融合的创新路径与发展前景。",https://mp.weixin.qq.com/s/Cnhkhs7tWjDNosD4zsPpaQ
49周,1764604800000,金智教育,市场与营销,关于召开中国高等教育学会智慧教育研究分会2025年学术年会的通知,"会议期间，金智教育将受邀分享《对未来学校发展的思考与探索》主题报告。我们将结合在AI、数据智能等领域的深厚积淀与丰富实践，分享关于未来学校形态的前瞻思考与实践路径，系统阐述如何以技术为引擎，推动构建更加开放、智能、泛在化的下一代教育新图景。
",https://mp.weixin.qq.com/s/SUyVzV-yQTTxISUQQQabpw
